state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Odisha,Gajapati,2017,62.06,42.88,71.12,80.3,42.1,71.05,83.89
Assam,Goalpara,2019,33.91,87.7,33.07,81.8,70.09,50.1,23.54
Gujarat,Gir Somnath,2024,52.55,38.4,81.73,89.3,42.42,87.69,89.02
Madhya Pradesh,Singrauli,2016,90.67,63.28,68.98,16.31,69.34,27.35,52.6
Uttar Pradesh,Ambedkar Nagar,2016,47.42,17.33,82.05,67.32,32.43,42.46,63.93
Punjab,Amritsar,2020,30.54,64.94,75.15,98.96,89.23,15.04,79.15
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2023,59.9,41.86,21.53,17.96,11.0,53.21,44.41
Uttar Pradesh,Chandauli,2016,25.3,26.39,28.33,51.95,62.02,11.2,95.89
Arunachal Pradesh,Lepa Rada,2017,44.13,43.9,17.7,92.18,64.13,46.77,41.06
Meghalaya,East Khasi Hills,2020,90.87,93.65,18.16,89.85,70.98,38.56,40.97
Odisha,Gajapati,2017,23.58,48.08,18.31,55.23,30.18,69.42,11.84
Rajasthan,Jhalawar,2023,95.29,79.87,77.95,29.47,94.93,52.02,40.91
Gujarat,Morbi,2016,84.94,85.41,15.37,37.72,90.37,34.33,47.32
Mizoram,Saitual,2018,42.5,60.72,16.39,19.03,38.2,95.71,56.0
Uttar Pradesh,Farrukhabad,2023,92.99,71.33,45.54,32.2,19.46,23.17,56.35
Haryana,Panipat,2023,13.86,59.73,78.6,25.23,32.19,48.16,71.08
Nagaland,Mokokchung,2024,84.54,26.58,38.57,72.15,87.83,79.17,98.7
Haryana,Panchkula,2017,37.07,87.87,31.78,68.32,22.1,29.47,32.15
Rajasthan,Khairthal-Tijara,2016,31.25,99.93,88.31,96.36,46.77,61.46,49.59
Nagaland,Kiphire,2022,84.89,20.07,47.61,84.88,73.41,62.78,67.88
Rajasthan,Balotra,2016,24.62,21.94,97.62,76.2,29.96,62.7,56.59
Odisha,Jagatsinghpur,2019,21.9,63.53,42.85,51.44,47.41,18.95,65.93
Rajasthan,Kekri,2025,70.9,73.06,60.31,13.74,60.68,93.77,30.73
Rajasthan,Sikar,2016,79.38,45.22,27.28,40.06,83.22,96.5,83.4
Haryana,Gurugram,2015,86.38,50.07,75.9,47.99,37.31,82.11,24.23
Uttar Pradesh,Chitrakoot,2018,84.37,24.85,65.97,74.42,10.79,24.47,19.26
Uttar Pradesh,Unnao,2023,14.86,28.12,36.27,84.04,91.97,47.67,49.9
Jharkhand,West Singhbhum,2021,91.85,33.47,69.27,86.29,91.29,12.7,39.69
Punjab,Sangrur,2017,32.3,95.46,55.32,90.41,51.0,39.68,91.97
Telangana,Adilabad,2015,26.93,46.1,33.6,20.53,39.75,78.34,76.42
Uttar Pradesh,Mahoba,2017,43.11,41.53,67.15,93.7,20.82,60.29,34.87
Andhra Pradesh,Nandyal,2021,68.04,27.92,82.17,92.6,57.24,95.77,15.8
Nagaland,Phek,2024,91.11,10.51,24.11,45.81,82.33,33.65,73.28
West Bengal,Jalpaiguri,2018,80.1,61.42,41.18,49.2,52.4,72.33,79.59
Bihar,Madhepura,2019,52.44,75.16,37.99,75.35,95.84,62.36,38.28
Uttar Pradesh,Amroha,2025,24.44,57.21,30.65,11.97,72.22,23.62,42.83
Chhattisgarh,Gariaband,2020,55.05,59.69,30.29,73.61,38.82,48.09,96.38
Assam,Dhubri,2015,86.02,73.63,95.12,92.42,26.51,90.7,46.83
Gujarat,Anand,2018,63.27,45.36,77.55,77.23,15.08,90.74,57.62
Madhya Pradesh,Betul,2021,10.81,38.05,30.19,15.1,89.25,27.5,19.79
Arunachal Pradesh,Lohit,2023,45.03,86.27,51.69,51.87,24.83,66.6,83.01
Rajasthan,Nagaur,2024,89.25,60.03,18.84,55.61,25.34,94.54,84.5
Tamil Nadu,Ranipet,2021,92.62,70.54,32.64,33.64,92.84,63.77,79.87
Rajasthan,Dholpur,2015,77.94,39.63,48.06,85.91,68.89,41.9,66.08
Madhya Pradesh,Betul,2022,43.19,43.19,41.59,87.78,72.23,99.71,75.13
Assam,South Salmara-Mankachar,2025,87.74,37.79,75.41,79.21,15.23,18.48,46.76
Uttar Pradesh,Barabanki,2023,71.87,74.83,74.57,31.19,85.82,31.53,23.94
Madhya Pradesh,Dewas,2017,24.03,81.16,55.93,76.88,31.64,11.09,37.99
Madhya Pradesh,Mandla,2020,92.61,43.82,70.15,20.66,19.51,38.23,46.4
Karnataka,Vijayanagara,2017,70.92,97.74,72.65,76.41,34.89,58.78,19.77
Kerala,Kannur,2021,78.3,35.71,86.01,10.84,34.42,63.7,66.35
Uttarakhand,Nainital,2016,64.24,43.3,40.15,81.85,42.2,69.3,86.11
Haryana,Karnal,2018,71.52,48.32,78.89,58.79,52.83,62.78,75.66
Gujarat,Amreli,2021,12.58,86.68,93.53,19.38,56.39,37.34,40.05
Arunachal Pradesh,Kamle,2023,15.33,35.64,75.8,49.94,41.44,68.3,45.32
Rajasthan,Hanumangarh,2024,56.88,93.14,60.88,68.7,27.44,23.47,25.36
Uttarakhand,Rudraprayag,2024,58.55,58.73,36.93,93.63,87.3,90.86,96.76
Andhra Pradesh,Bapatla,2015,46.89,27.0,43.51,80.35,15.09,58.56,31.54
Assam,Darrang,2015,65.98,69.32,50.67,73.64,25.56,69.68,17.12
West Bengal,Howrah,2025,40.55,43.04,56.0,25.56,59.82,64.38,24.02
Gujarat,Chhota Udepur,2023,29.24,42.26,84.3,56.08,73.86,53.27,30.61
Haryana,Bhiwani,2017,83.34,64.2,26.49,22.61,65.75,61.27,78.31
Karnataka,Tumakuru,2017,15.66,84.57,46.7,27.68,87.9,80.02,55.17
Uttar Pradesh,Sonbhadra,2023,35.9,23.67,59.73,74.29,37.36,90.14,12.81
Odisha,Khordha,2015,79.03,96.03,43.72,56.53,18.43,59.39,24.39
Odisha,Nuapada,2020,13.48,39.1,88.96,21.65,47.67,65.15,96.72
Uttar Pradesh,Siddharthnagar,2025,78.27,58.23,92.62,83.47,57.44,43.01,68.31
Madhya Pradesh,Seoni,2020,29.89,79.29,72.36,12.17,75.89,33.71,47.18
Andhra Pradesh,Anantapur,2024,37.11,81.25,60.9,86.03,43.24,41.86,28.41
Arunachal Pradesh,Upper Siang,2016,88.2,27.79,23.43,97.24,62.18,78.03,16.52
Bihar,Sheohar,2021,71.14,55.76,45.14,29.42,32.1,50.19,78.33
Uttar Pradesh,Mau,2019,55.2,70.23,20.14,81.02,63.7,28.37,65.43
Uttar Pradesh,Hamirpur,2021,14.56,19.32,49.82,11.48,98.27,54.67,22.93
Andhra Pradesh,Tirupati,2022,33.45,66.08,20.41,89.65,16.01,12.5,78.81
Maharashtra,Thane,2018,57.06,84.39,42.06,97.58,58.12,37.89,15.44
Uttar Pradesh,Kanpur Nagar,2015,73.98,29.79,18.89,96.97,94.36,12.63,78.81
Uttarakhand,Nainital,2015,93.8,21.97,31.47,79.71,76.64,25.08,81.12
Maharashtra,Jalna,2024,98.61,57.1,31.69,75.99,58.98,50.4,43.16
Haryana,Faridabad,2016,56.26,30.97,20.32,74.09,22.99,96.47,46.21
Rajasthan,Sirohi,2023,64.15,44.94,72.02,53.6,16.04,75.72,22.64
Andhra Pradesh,Kurnool,2018,67.7,92.08,39.97,45.48,23.55,48.28,40.83
Meghalaya,East Khasi Hills,2019,42.61,31.16,99.09,17.89,85.82,13.8,29.22
Karnataka,Uttara Kannada,2023,56.81,14.56,84.99,67.3,80.7,27.27,48.92
Tamil Nadu,Sivaganga,2022,81.62,17.79,58.77,88.01,43.47,70.85,62.27
Gujarat,Surendranagar,2021,10.47,26.84,57.43,15.09,90.13,29.23,76.55
Chhattisgarh,Kondagaon,2023,97.19,35.8,16.37,62.07,91.31,15.91,58.5
Chhattisgarh,Balod,2020,69.58,66.29,91.6,26.33,24.81,76.31,32.35
Haryana,Panipat,2025,49.99,43.62,61.09,72.06,93.0,75.27,83.41
Uttar Pradesh,Sonbhadra,2019,86.07,15.56,53.9,72.49,10.49,96.03,13.41
Uttar Pradesh,Jhansi,2018,57.42,75.17,94.3,85.31,90.26,93.07,79.64
Himachal Pradesh,Kinnaur,2019,52.84,34.73,81.54,72.47,85.63,92.03,81.11
Bihar,Sheohar,2024,43.4,86.09,60.41,51.12,15.93,68.02,67.29
Mizoram,Mamit,2019,40.93,76.21,39.93,38.78,31.63,73.46,48.81
Maharashtra,Ratnagiri,2021,42.54,64.23,32.17,63.1,39.13,23.75,78.81
Uttar Pradesh,Azamgarh,2015,72.0,10.99,25.46,98.14,95.42,64.31,61.46
Punjab,Faridkot,2021,22.18,93.92,93.51,13.26,88.32,60.06,25.02
West Bengal,Jhargram,2024,42.22,41.92,87.84,54.78,70.21,98.6,61.63
Telangana,Jogulamba Gadwal,2018,43.47,11.88,11.6,10.89,64.85,14.88,70.93
Gujarat,Bharuch,2021,27.24,42.8,75.31,92.44,93.42,61.21,34.36
Odisha,Rayagada,2020,14.0,18.79,73.85,72.93,72.69,23.91,64.13
Maharashtra,Chandrapur,2016,81.69,88.32,78.25,93.6,11.86,48.57,57.55
Jharkhand,Hazaribagh,2023,55.02,99.76,49.65,93.39,82.77,91.96,34.26
Tamil Nadu,Erode,2024,70.01,75.79,75.24,70.67,59.42,36.98,37.3
Rajasthan,Bharatpur,2022,70.77,11.86,21.12,72.06,37.6,17.01,88.21
Mizoram,Champhai,2020,48.38,92.27,69.86,68.33,70.9,80.3,57.09
Uttar Pradesh,Etawah,2020,34.77,12.47,35.15,95.61,89.13,11.44,24.48
Assam,Dibrugarh,2021,13.73,50.47,30.06,75.97,51.36,30.12,56.6
Punjab,Rupnagar,2022,96.12,74.52,60.73,13.7,92.35,48.46,47.01
Maharashtra,Bhandara,2021,94.53,97.2,45.82,72.39,63.94,40.51,45.94
Odisha,Sonepur,2024,44.45,14.33,70.92,42.16,79.94,66.05,96.05
Uttar Pradesh,Kannauj,2025,45.65,63.19,61.2,49.15,61.69,42.78,31.09
Andhra Pradesh,Guntur,2025,80.06,16.71,47.67,18.8,32.78,74.02,64.71
Arunachal Pradesh,Lower Dibang Valley,2024,13.69,29.34,96.87,23.63,26.61,31.56,18.46
Haryana,Ambala,2024,93.66,35.97,72.06,65.85,79.93,35.96,49.61
Gujarat,Banaskantha,2023,93.54,77.07,77.69,46.17,57.54,72.53,95.75
Assam,Kamrup,2015,60.17,20.01,90.67,23.85,78.99,38.42,78.81
Arunachal Pradesh,Upper Subansiri,2017,87.48,66.12,62.32,26.82,30.72,12.34,31.25
Chhattisgarh,Dhamtari,2019,56.56,81.44,32.45,95.78,37.27,70.31,59.74
Arunachal Pradesh,East Kameng,2023,56.26,19.35,90.77,34.46,43.47,16.42,37.1
Sikkim,Soreng,2021,44.65,68.56,29.69,70.4,90.27,17.24,79.69
Madhya Pradesh,Tikamgarh,2019,40.38,29.52,69.27,72.74,62.12,26.78,32.08
Odisha,Ganjam,2016,27.21,76.07,31.25,85.02,97.73,98.39,71.24
Assam,Darrang,2025,73.94,53.91,91.51,43.8,49.84,84.32,88.42
Himachal Pradesh,Bilaspur,2025,11.37,87.09,36.57,90.47,39.83,72.45,45.22
West Bengal,Kalimpong,2016,72.11,48.05,57.55,35.66,17.62,92.0,98.69
Chhattisgarh,Bastar,2019,18.52,31.01,61.03,65.53,52.24,85.71,81.08
Jharkhand,East Singhbhum,2016,14.51,25.83,50.99,44.99,14.0,96.5,23.64
Uttar Pradesh,Kanpur Dehat,2023,14.19,34.08,84.09,80.89,85.6,93.65,62.3
Himachal Pradesh,Una,2019,99.7,59.29,81.21,51.69,17.49,30.01,33.75
Nagaland,Tuensang,2025,67.12,71.83,38.94,38.6,42.05,34.22,31.43
West Bengal,Alipurduar,2017,74.85,24.56,93.68,34.21,80.62,67.7,42.58
Gujarat,Kutch,2019,47.97,54.95,94.66,65.44,50.54,15.19,46.59
Maharashtra,Latur,2021,21.47,66.15,58.05,15.86,93.51,90.53,91.25
Punjab,Barnala,2021,90.47,18.47,91.48,58.84,64.16,20.21,53.3
Assam,Jorhat,2023,12.62,59.52,89.69,38.95,30.65,27.44,84.34
Andhra Pradesh,Annamayya,2017,83.19,45.87,68.15,79.29,18.17,40.2,99.32
Odisha,Balangir,2024,89.18,46.48,40.13,43.18,60.57,46.48,41.75
Uttar Pradesh,Farrukhabad,2020,78.61,33.33,27.45,92.45,83.14,76.1,47.56
Bihar,Gopalganj,2022,21.92,77.08,37.64,26.09,65.67,58.57,85.25
Chhattisgarh,Gariaband,2015,58.89,57.55,12.65,88.3,40.04,88.89,34.27
Arunachal Pradesh,Dibang Valley,2020,82.8,49.83,91.24,91.94,52.01,95.34,67.16
Madhya Pradesh,Ujjain,2016,10.85,35.99,40.64,46.78,31.16,63.83,55.23
Bihar,Gopalganj,2025,18.86,15.69,79.39,41.72,36.09,12.54,72.13
Telangana,Nizamabad,2016,93.46,58.51,51.81,60.3,64.34,35.18,43.45
Uttar Pradesh,Mahoba,2023,32.41,60.26,46.58,83.68,44.45,44.24,32.98
Gujarat,Kheda,2024,98.07,41.29,72.99,14.05,98.76,45.83,80.15
Maharashtra,Beed,2020,58.21,93.2,44.23,62.84,39.89,46.01,67.5
Madhya Pradesh,Ujjain,2021,37.1,62.57,46.0,73.22,80.59,48.94,73.83
Tamil Nadu,Cuddalore,2024,45.19,18.3,91.31,97.48,59.68,93.86,42.67
Tripura,Unakoti,2022,96.74,55.61,44.69,73.85,41.24,23.36,46.5
Karnataka,Vijayapura,2021,46.08,93.14,43.99,79.53,22.44,74.11,47.97
West Bengal,Darjeeling,2015,59.52,77.38,10.21,91.36,96.89,12.34,60.66
Uttar Pradesh,Maharajganj,2020,33.27,74.48,45.15,91.3,14.65,61.13,91.61
Arunachal Pradesh,Lower Siang,2019,97.47,34.68,70.7,91.75,12.82,89.24,33.16
Odisha,Kendujhar (Keonjhar),2016,63.71,22.7,77.55,39.79,74.35,65.6,55.53
Nagaland,Shamator,2022,42.1,11.23,61.99,97.59,25.31,46.51,89.27
Karnataka,Koppal,2016,98.24,69.59,16.28,48.62,80.62,46.2,99.62
Mizoram,Lunglei,2016,27.47,68.17,10.23,43.11,37.67,41.21,37.3
Andhra Pradesh,Chittoor,2015,32.75,95.87,62.31,79.49,79.92,35.88,44.57
Madhya Pradesh,Umaria,2015,42.11,27.64,26.16,90.51,88.53,56.62,54.39
Nagaland,Dimapur,2015,36.24,35.13,91.05,22.49,63.91,74.11,96.41
Chhattisgarh,Sarangarh-Bilaigarh,2015,83.32,21.56,68.7,88.54,81.6,52.45,88.86
Jharkhand,Godda,2020,71.73,96.12,87.85,73.91,43.53,91.79,97.61
West Bengal,Dakshin Dinajpur,2019,28.88,99.91,45.13,90.45,56.12,98.46,90.18
Tamil Nadu,Thiruvarur,2015,54.04,70.93,20.48,65.27,32.73,26.6,33.21
Jharkhand,Ramgarh,2024,57.28,92.05,58.13,22.5,93.8,58.72,75.62
West Bengal,Cooch Behar,2019,83.12,14.97,64.45,14.83,44.36,93.84,22.39
Gujarat,Gir Somnath,2020,51.33,98.72,73.5,31.92,30.91,52.76,54.71
Uttarakhand,Bageshwar,2022,87.58,14.62,76.38,11.29,14.42,16.82,81.81
Chhattisgarh,Kondagaon,2017,69.95,83.96,42.74,23.96,52.89,31.51,90.15
Madhya Pradesh,Betul,2020,40.2,10.59,37.83,78.14,83.03,72.87,74.06
Karnataka,Haveri,2019,76.19,42.74,20.58,70.05,51.12,72.07,17.5
Gujarat,Vadodara,2022,19.84,23.94,71.3,23.0,61.27,16.04,45.03
Kerala,Pathanamthitta,2024,72.16,53.62,80.36,84.6,10.75,65.28,25.21
Odisha,Dhenkanal,2019,15.28,39.95,90.8,75.48,73.94,39.75,33.47
Madhya Pradesh,Bhopal,2018,22.94,86.33,76.95,56.12,57.33,23.41,73.84
Mizoram,Hnahthial,2020,87.6,20.48,87.49,58.27,65.65,34.88,19.29
Uttar Pradesh,Muzaffarnagar,2017,79.87,53.82,69.75,50.82,51.93,52.2,22.15
Uttar Pradesh,Hathras,2019,85.86,36.65,63.42,25.5,58.3,47.94,62.34
Odisha,Jharsuguda,2021,43.32,37.08,79.71,78.15,72.84,76.43,42.24
Bihar,Khagaria,2020,64.78,64.11,77.84,59.47,99.37,74.37,98.59
Maharashtra,Beed,2018,41.94,45.6,91.79,58.4,24.12,52.64,12.34
Sikkim,Namchi,2024,28.16,73.52,18.71,86.11,72.78,93.11,11.29
Manipur,Bishnupur,2015,38.48,67.33,40.7,68.25,78.93,48.37,54.11
Arunachal Pradesh,East Kameng,2016,61.73,54.27,72.62,83.06,73.79,77.53,59.43
Gujarat,Narmada,2016,35.17,61.32,48.23,59.5,47.69,31.67,86.45
Rajasthan,Rajsamand,2023,38.05,67.63,19.59,74.26,39.96,99.88,49.65
Andhra Pradesh,Chittoor,2015,34.43,98.86,55.52,58.4,78.93,93.85,37.43
Maharashtra,Bhandara,2022,80.13,68.44,16.54,62.76,93.03,97.21,67.89
Madhya Pradesh,Agar Malwa,2023,68.62,80.19,48.14,73.83,68.38,38.34,92.28
Uttar Pradesh,Aligarh,2018,65.39,39.56,84.97,14.36,31.43,72.49,54.31
West Bengal,Dakshin Dinajpur,2016,87.81,77.93,50.27,18.3,97.38,69.03,51.32
Karnataka,Koppal,2021,75.07,65.13,19.2,23.28,50.17,70.91,19.69
Chhattisgarh,Gariaband,2021,71.78,96.25,38.47,79.75,17.2,62.47,44.87
Madhya Pradesh,Alirajpur,2018,85.16,67.56,44.97,44.78,53.06,85.02,29.3
Haryana,Jhajjar,2015,59.67,77.82,90.62,95.97,59.08,36.93,75.67
Arunachal Pradesh,Lower Dibang Valley,2022,13.8,14.65,50.75,20.15,17.32,35.55,22.76
Odisha,Kendujhar (Keonjhar),2018,93.63,35.41,17.7,30.24,21.88,57.25,29.03
Assam,Karimganj,2021,93.52,64.82,60.99,41.83,39.57,54.12,23.48
Meghalaya,West Khasi Hills,2015,16.31,25.87,64.77,31.76,48.98,27.51,29.58
Odisha,Mayurbhanj,2016,89.82,90.68,96.28,11.73,85.22,83.17,76.53
Rajasthan,Baran,2016,63.79,19.19,35.2,62.28,74.95,21.91,13.43
Chhattisgarh,Kanker,2025,33.01,23.85,52.1,23.7,79.11,38.47,44.73
Madhya Pradesh,Niwari,2018,63.77,18.09,26.01,71.19,65.13,94.38,41.55
Uttar Pradesh,Banda,2020,90.99,46.44,18.76,17.84,37.09,20.71,65.27
Karnataka,Yadgir,2018,92.13,75.24,67.83,33.27,40.51,98.35,90.9
Gujarat,Chhota Udepur,2020,77.13,31.97,15.09,91.76,90.88,61.26,22.75
Chhattisgarh,Sukma,2017,16.91,75.91,33.31,86.6,21.3,93.76,70.23
Jharkhand,Koderma,2020,67.88,61.02,65.0,25.97,32.72,31.57,82.37
Arunachal Pradesh,Lepa Rada,2022,34.01,42.02,96.51,62.86,48.2,66.84,64.58
Manipur,Kakching,2018,14.76,37.15,88.41,92.95,13.44,80.34,28.07
Rajasthan,Kotputli-Behror,2022,94.37,22.95,47.76,39.47,22.02,62.78,42.1
Uttar Pradesh,Lalitpur,2017,54.46,23.1,54.24,38.18,24.0,55.6,39.57
Gujarat,Mehsana,2017,80.5,65.19,10.77,75.08,40.45,12.44,95.19
Jharkhand,Seraikela-Kharsawan,2024,90.73,33.45,40.14,29.18,35.07,63.18,87.91
Bihar,Kishanganj,2023,81.11,61.7,59.15,10.51,15.83,71.28,13.68
Nagaland,Tuensang,2024,59.61,45.99,36.52,54.82,14.4,89.73,75.91
Andhra Pradesh,Kurnool,2023,15.53,18.34,44.97,36.53,65.77,77.48,99.76
Telangana,Mahabubabad,2024,88.73,92.67,51.88,82.8,36.01,62.36,33.96
Uttar Pradesh,Amroha,2019,83.21,58.03,68.2,58.59,89.44,75.23,58.99
Gujarat,Aravalli,2024,44.39,61.27,87.56,74.12,93.96,16.64,82.26
Sikkim,Gyalshing,2022,82.52,45.77,31.52,26.82,73.59,14.65,49.72
Maharashtra,Akola,2019,19.84,23.69,74.93,40.44,55.27,40.25,47.87
Uttarakhand,Pauri Garhwal,2017,33.53,53.25,36.13,21.72,72.52,42.48,35.58
Maharashtra,Satara,2022,58.57,16.25,21.56,61.02,14.57,41.1,41.03
Uttar Pradesh,Pilibhit,2019,18.39,57.3,44.36,84.26,17.03,44.77,23.85
Chhattisgarh,Mahasamund,2020,33.86,29.4,22.02,33.85,10.42,65.79,92.82
Telangana,Ranga Reddy,2017,66.64,40.09,45.99,92.95,97.13,23.66,74.55
Tripura,South Tripura,2022,30.66,82.5,91.68,49.84,25.04,80.35,29.31
Maharashtra,Nanded,2023,39.72,71.47,12.68,14.62,36.07,79.57,76.94
Nagaland,Noklak,2025,39.96,26.49,82.13,78.62,33.79,38.4,59.2
Andhra Pradesh,Kurnool,2024,60.9,96.56,76.44,53.48,37.67,27.67,92.2
Uttar Pradesh,Etah,2022,28.8,61.41,35.39,18.47,37.5,48.52,25.67
Telangana,Ranga Reddy,2019,47.88,34.98,18.76,93.48,55.0,20.41,32.75
Gujarat,Patan,2017,77.39,57.71,27.2,24.0,90.62,68.31,69.85
Arunachal Pradesh,Lohit,2022,95.45,38.53,38.43,95.56,34.41,75.75,71.83
Madhya Pradesh,Niwari,2024,80.03,98.3,33.42,87.72,11.6,13.02,99.68
Uttar Pradesh,Kasganj,2018,11.47,56.22,82.57,63.4,52.76,74.15,64.87
Rajasthan,Deeg,2016,97.87,88.55,62.97,42.9,91.55,29.26,81.67
Madhya Pradesh,Khandwa,2018,32.36,70.14,59.88,97.58,21.34,18.35,65.59
Kerala,Thiruvananthapuram,2019,84.91,34.5,48.82,19.11,11.62,57.24,75.51
Chhattisgarh,Bastar,2021,41.28,49.35,59.18,38.68,44.81,87.69,10.97
Maharashtra,Thane,2023,56.18,28.86,22.53,95.9,26.12,13.12,98.69
Telangana,Hyderabad,2016,66.57,77.69,69.27,69.87,44.05,79.98,97.15
Madhya Pradesh,Balaghat,2016,45.49,24.96,95.88,55.89,43.2,80.64,70.68
Manipur,Kamjong,2019,74.01,23.44,25.41,16.61,48.16,61.39,25.23
Nagaland,Dimapur,2022,33.9,89.21,80.49,26.1,76.1,20.79,36.26
Karnataka,Chitradurga,2015,35.37,48.15,71.92,80.96,91.17,56.05,76.97
Bihar,Bhojpur,2019,69.17,15.22,80.78,51.42,51.17,83.01,18.92
Andhra Pradesh,Sri Sathya Sai,2024,85.85,64.98,99.78,40.12,46.17,78.73,55.47
Assam,Chirang,2020,54.44,89.12,76.05,26.81,48.74,34.42,56.16
Arunachal Pradesh,Upper Subansiri,2019,85.89,78.45,70.47,43.82,24.78,87.49,21.3
Arunachal Pradesh,Kurung Kumey,2021,94.94,98.27,77.09,73.11,92.28,96.91,47.32
Karnataka,Dakshina Kannada,2023,43.62,49.8,29.98,88.17,73.42,34.48,53.54
Punjab,Ferozepur,2023,91.48,55.51,14.73,66.7,46.07,88.2,64.24
Tripura,South Tripura,2023,78.45,10.97,39.19,69.82,97.8,69.63,34.68
Gujarat,Aravalli,2019,41.92,75.98,61.3,33.87,87.27,84.83,16.92
Uttar Pradesh,Budaun,2016,17.37,52.18,12.22,74.9,40.6,99.8,90.26
Uttar Pradesh,Mirzapur,2021,57.34,54.01,31.37,66.02,38.03,37.78,59.4
Uttarakhand,Haridwar,2024,32.9,69.88,51.87,11.19,57.28,33.65,52.58
West Bengal,Uttar Dinajpur,2016,66.53,25.82,53.34,45.66,10.0,82.94,72.07
Rajasthan,Jaipur,2020,19.42,14.75,12.71,82.66,18.48,59.09,31.69
Jharkhand,Sahebganj,2022,21.82,33.77,21.85,69.15,76.12,68.35,58.37
Madhya Pradesh,Chhatarpur,2020,59.67,41.61,64.85,34.27,38.7,42.7,63.4
Telangana,Mahabubnagar,2023,74.45,99.28,90.82,80.2,50.72,98.33,26.06
Karnataka,Chitradurga,2024,34.57,21.86,49.59,50.82,81.22,44.3,37.05
Karnataka,Mandya,2021,10.61,38.02,31.15,28.11,85.27,63.77,11.11
Tripura,Khowai,2015,47.41,14.36,72.91,97.57,57.18,59.14,22.15
Haryana,Rewari,2020,96.25,75.94,94.26,45.13,15.26,56.83,45.98
Uttar Pradesh,Deoria,2025,50.54,10.25,70.51,24.4,94.48,93.21,72.01
Manipur,Tamenglong,2017,89.07,39.73,94.89,48.59,42.58,59.71,11.66
Arunachal Pradesh,Namsai,2021,50.93,92.74,44.34,51.11,28.34,16.19,17.14
Uttar Pradesh,Siddharthnagar,2020,86.1,57.52,86.42,33.07,47.15,86.92,89.41
Chhattisgarh,Surajpur,2018,28.77,72.46,41.38,20.74,67.34,60.0,51.6
Madhya Pradesh,Sheopur,2019,61.8,41.84,78.61,90.18,85.67,20.3,11.42
Gujarat,Mahisagar,2020,17.17,43.32,87.09,79.08,30.58,60.76,32.02
Tamil Nadu,Sivaganga,2019,60.13,68.29,26.92,73.11,11.15,73.92,75.83
Karnataka,Uttara Kannada,2025,66.52,89.08,99.17,40.78,60.79,68.92,23.69
Nagaland,Longleng,2017,55.57,27.99,82.89,54.04,82.65,12.94,74.84
Nagaland,Chümoukedima,2020,74.42,98.28,52.21,76.8,71.74,86.53,76.08
Madhya Pradesh,Katni,2025,71.3,53.6,29.37,58.7,38.13,12.03,37.79
Assam,Hojai,2015,80.49,68.54,52.11,95.03,84.22,60.28,23.78
Uttar Pradesh,Jaunpur,2019,59.75,94.7,38.52,62.12,76.67,83.34,40.35
Manipur,Kangpokpi,2024,39.02,72.13,79.33,95.81,36.27,32.4,40.88
Assam,Golaghat,2017,76.91,93.95,22.84,26.74,53.33,45.46,90.17
Punjab,Patiala,2023,57.24,10.26,97.21,46.02,83.68,84.13,69.0
Tamil Nadu,Pudukkottai,2015,89.85,40.9,56.85,76.69,36.35,86.1,12.23
Sikkim,Namchi,2025,14.66,64.67,35.67,94.48,15.16,94.82,65.92
Rajasthan,Sikar,2016,73.82,66.11,38.08,16.57,13.14,82.86,46.05
Maharashtra,Solapur,2022,18.05,51.31,77.59,98.94,10.49,79.36,73.29
Uttar Pradesh,Bhadohi,2015,66.03,99.08,15.79,73.11,10.48,95.03,95.37
Meghalaya,East Khasi Hills,2020,76.4,72.69,97.98,83.16,63.69,77.14,84.69
West Bengal,Paschim Bardhaman,2024,36.92,93.36,18.92,44.93,15.32,59.23,50.38
Madhya Pradesh,Vidisha,2017,79.12,26.11,51.49,90.65,21.22,44.54,63.26
Rajasthan,Chittorgarh,2024,52.88,17.53,77.2,25.15,30.05,75.85,85.14
Gujarat,Dahod,2017,15.83,52.88,48.17,25.01,88.72,51.69,83.12
Maharashtra,Buldhana,2015,94.76,40.97,80.42,46.28,86.17,60.96,73.3
West Bengal,Kolkata,2018,10.64,44.0,53.24,43.75,48.64,76.61,11.31
Meghalaya,South Garo Hills,2015,85.56,78.0,57.69,49.39,74.35,45.67,64.52
Gujarat,Amreli,2017,30.94,16.27,66.23,10.55,14.46,33.23,65.31
Manipur,Senapati,2015,37.53,33.04,10.79,22.71,25.24,61.45,31.97
Telangana,Rajanna Sircilla,2015,95.83,19.25,21.29,48.26,51.03,84.03,57.62
Assam,Udalguri,2024,33.89,82.0,91.43,61.01,86.42,55.47,67.29
Gujarat,Banaskantha,2021,82.8,58.57,34.54,15.36,17.09,83.59,41.43
Madhya Pradesh,Bhind,2017,77.72,84.55,88.51,86.34,65.08,67.9,53.83
Himachal Pradesh,Bilaspur,2021,19.67,15.32,11.24,20.45,62.06,53.35,45.38
Karnataka,Dakshina Kannada,2022,88.44,12.63,40.77,27.79,21.12,47.18,99.18
Uttar Pradesh,Barabanki,2023,87.1,31.61,75.31,19.57,63.89,67.75,80.24
Haryana,Hisar,2025,75.01,86.54,38.36,82.2,83.84,97.23,68.1
